modo,peso_efectivo_kg,series,fuente,nota
squat,15,10 x5x2 | 10 x4 | 12.5 x2 | 12.5 x1,captura 2026-09-21,
squat,20,10 x5x2 | 12.5 x4 | 15 x2 | 17.5 x1,captura 2026-09-21,
squat,30,20 x5x2 | 22.5 x4 | 25 x2 | 27.5 x1,captura 2026-09-21,
squat,40,20 x5x2 | 25 x4 | 30 x2 | 37.5 x1,captura 2026-09-21,
squat,50,20 x5x2 | 27.5 x4 | 37.5 x2 | 45 x1,captura 2026-09-21,
squat,60,20 x5x2 | 30 x4 | 42.5 x2 | 55 x1,captura 2026-09-21,
squat,70,20 x5x2 | 35 x4 | 50 x2 | 62.5 x1,captura 2026-09-21,
squat,80,20 x5x2 | 40 x4 | 57.5 x2 | 72.5 x1,captura 2026-09-21,
squat,100,20 x5x2 | 50 x4 | 70 x2 | 90 x1,captura 2026-09-21,
squat,112.5,20 x5x2 | 60 x4 | 80 x3 | 90 x2 | 102.5 x1,captura 2026-09-21,Umbral: a partir de 112.5 aparece una serie mas (5 en vez de 4)
squat,140,20 x5x2 | 60 x4 | 100 x3 | 112.5 x2 | 127.5 x1,captura 2026-09-21,
squat,180,20 x5x2 | 60 x4 | 100 x3 | 140 x2 | 162.5 x1,captura 2026-09-21,
squat,185,OUT_OF_RANGE,captura 2026-09-21,"¡Ya eres experto, calculalo tu! - el corte esta en 180 kg"
press,15,10 x5 | 10 x4 | 12.5 x2 | 12.5 x1,captura 2026-09-21,
press,20,10 x5 | 12.5 x4 | 15 x2 | 17.5 x1,captura 2026-09-21,
press,40,20 x5 | 25 x4 | 30 x2 | 37.5 x1,captura 2026-09-21,
press,60,20 x5 | 30 x4 | 42.5 x2 | 55 x1,captura 2026-09-21,
press,100,20 x5 | 50 x4 | 70 x2 | 90 x1,captura 2026-09-21,
press,140,20 x5 | 60 x4 | 100 x3 | 112.5 x2 | 127.5 x1,captura 2026-09-21,Mismos pesos que sentadilla; solo cambia la primera serie (x5 en vez de x5x2)
pressAfterPress,15,10 x5 | 10 x2 | 12.5 x1 | 12.5 x1,captura 2026-09-21,
pressAfterPress,60,20 x5 | 30 x2 | 42.5 x1 | 55 x1,captura 2026-09-21,
pressAfterPress,100,20 x5 | 50 x2 | 70 x1 | 90 x1,captura 2026-09-21,
pressAfterPress,140,20 x5 | 60 x2 | 100 x1 | 112.5 x1 | 127.5 x1,captura 2026-09-21,Mismos pesos que press normal con las reps recortadas
deadliftAfterSquat,15,15 x5 | 15 x2 | 15 x1,captura 2026-09-21,
deadliftAfterSquat,60,40 x5 | 47.5 x2 | 55 x1,captura 2026-09-21,
deadliftAfterSquat,100,60 x5 | 75 x2 | 90 x1,captura 2026-09-21,
deadliftAfterSquat,140,60 x5 | 100 x3 | 112.5 x2 | 127.5 x1,captura 2026-09-21,Hasta 112.5 son 3 series; por encima aparece una cuarta
deadliftAfterSquat,185,OUT_OF_RANGE,captura 2026-09-21,
deadliftNoSquat,15,rdlEmptyBar x8 | 15 x5 | 15 x4 | 15 x2 | 15 x1,captura 2026-09-21,Este modo anade delante RDL con barra vacia a 8 reps
deadliftNoSquat,60,rdlEmptyBar x8 | 30 x5 | 37.5 x4 | 45 x2 | 55 x1,captura 2026-09-21,
deadliftNoSquat,100,rdlEmptyBar x8 | 50 x5 | 62.5 x4 | 77.5 x2 | 90 x1,captura 2026-09-21,
deadliftNoSquat,140,rdlEmptyBar x8 | 60 x5 | 92.5 x4 | 112.5 x2 | 127.5 x1,captura 2026-09-21,
